title,author,year,link
分散人工知能 (1): 協調問題解決,['石田亨， 桑原和宏'],1992,https://www.jstage.jst.go.jp/article/jjsai/7/6/7_945/_pdf
人工知能画家 静,['迎山和司'],2004,https://ipsj.ixsq.nii.ac.jp/ej/?action=repository_action_common_download&item_id=36846&item_no=1&attribute_id=1&file_no=1
超並列人工知能,['北野宏明'],1992,https://www.jstage.jst.go.jp/article/jjsai/7/2/7_244/_pdf
"2015 年度 人工知能学会全国大会 (第 29 回, JSAI 2015)",['清田陽司'],2015,https://www.jstage.jst.go.jp/article/johokanri/58/5/58_393/_pdf
"集会報告 2016 年度 人工知能学会全国大会 (第 30 回, JSAI 2016)",['清田陽司'],2016,https://www.jstage.jst.go.jp/article/johokanri/59/5/59_345/_html/-char/en
生物工学× 人工知能,['寺澤武'],2021,https://www.jstage.jst.go.jp/article/seibutsukogaku/99/7/99_99.7_365/_pdf
人工知能と経済の未来 2030 年雇用大崩壊,['井上智洋'],2016,N/A
りんな: 女子高生人工知能,"['X Wu', 'K Ito', 'K Iida', 'K Tsuboi', 'M Klyen']",2016,https://www.anlp.jp/proceedings/annual_meeting/2016/pdf_dir/B1-3.pdf
Graph modeling of metabolism,['M Arita'],2000,https://www.jstage.jst.go.jp/article/jjsai/15/4/15_703/_pdf
人工知能による運転支援・自動運転技術の現状と課題,['我妻広明'],2015,https://www.jstage.jst.go.jp/article/sicejl/54/11/54_808/_pdf
人工知能 (로봇) 의 법적 쟁점에 대한 試論的 考察,['김윤명'],2016,http://aitimes.org/wp-content/uploads/2017/07/05.-%EA%B9%80%EC%9C%A4%EB%AA%85.pdf
Finding discrimination rules using the cascade model,['T Okada'],2000,https://www.jstage.jst.go.jp/article/jjsai/15/2/15_321/_pdf
Effective heuristics for hypothesis testing: an empirical discussion using a computer simulation method,"['K Miwa', 'T Okada']",1996,https://www.jstage.jst.go.jp/article/jjsai/11/6/11_877/_pdf
汎用人工知能と知的財産,['岡本義則'],2023,https://www.jstage.jst.go.jp/article/jsaisigtwo/2023/AGI-023/2023_02/_pdf
人工知能による文書分類,['難波英嗣'],2016,https://www.jstage.jst.go.jp/article/jkg/66/6/66_277/_pdf
人工知能,['南雲仁一， 甘利俊一， 中野馨'],1972,https://www.jstage.jst.go.jp/article/sicejl1962/11/1/11_1_58/_pdf
汎用人工知能のアラインメントと人権 (AI 権),['岡本義則'],2023,https://www.jstage.jst.go.jp/article/jsaisigtwo/2023/AGI-024/2023_04/_pdf
人工知能が俳句を詠む: AI 一茶くんの挑戦,['川村秀憲， 山下倫央， 横山想一郎'],2021,N/A
人工知能学会におけるネットワーク構造と変化,['安田雪， 松尾豊， 武田英明'],2006,https://www.jstage.jst.go.jp/article/pjsai/JSAI06/0/JSAI06_0_69/_pdf
汎用人工知能の標準問題としての人狼ゲーム,['篠田孝祐， 鳥海不二夫， 片上大輔， 大澤博隆'],2014,https://www.jstage.jst.go.jp/article/pjsai/JSAI2014/0/JSAI2014_2C4OS22a3/_pdf
次世代人工知能技術,['本村陽一'],2016,https://ipsj.ixsq.nii.ac.jp/ej/?action=repository_action_common_download&item_id=158483&item_no=1&attribute_id=1&file_no=1
ディジタルゲームにおける人工知能技術の応用の現在 (< 特集> エンターテイメントにおける AI),['三宅陽一郎'],2015,https://www.jstage.jst.go.jp/article/jjsai/30/1/30_45/_pdf
ディベート人工知能における意見生成,['柳井孝介， 三好利昇， 柳瀬利彦， 佐藤美沙'],2015,https://www.jstage.jst.go.jp/article/pjsai/JSAI2015/0/JSAI2015_3M32in/_pdf
治療方針の共有が人工知能への信頼に及ぼす影響,['横井良典， 中谷内一也'],2018,https://www.jstage.jst.go.jp/article/jssp/34/1/34_1736/_pdf
